nick,ticker,fullname,address,decimals,pt_fixed
cnry,CANARY,Canary,0xb2cd91b79df296ea181aa5f6d729e5136e1853a4,18,5
coot,Coot,CootieCoin,0xe4671844fcb3ca9a80a1224b6f9a0a6c2ba2a7d5,18,5
exfi,EXFI,Experimental Finance Token,0xc348f894d0e939fe72c467156e6d7dcbd6f16e21,18,5
exdc,exXDC,Experimental Wrapped XDC,0xc54de96302981f87a6f80e4607593681b44d670c,18,5
fort,SFORT,sFortuna,0x9e2e6c16803878c18e54ed74f05aeafcce464626,18,5
gkb,GKB,Gokubi,0x1915462fece97854d6738b90d3f9ec09e723d451,18,5
hs,HS,Honey Stick,0x9dc8639bff70b019088f0b7d960561654269b5be,18,5
orc,ORACLE,OracleSwap.io,0xd7565b16b65376e2ddb6c71e7971c7185a7ff3ff,18,5
pro,PRO,Prophet,0xf810576A68C3731875BDe07404BE815b16fC0B4e,18,5
psb,PSB,Pangolin Songbird,0xb2987753d1561570f726aa373f48e77e27aa5ff4,18,5
sdod,sDOOD,sDOODToken,0x697bb3b5e1ecf4febe6016321b0648d3d6c270b6,18,5
sfin,SFIN,Songbird Finance Token,0x0d94e59332732d18cf3a3d457a8886a2ae29ea1b,18,5
sgb,SGB,Songbird,0x02f0826ef6ad107cfc861152b32b52fd11bab9ed,19,5
sprk,SPRK,SparkS,0xfd2a0fD402828fDB86F9a9D5a760242AD7526cC0,18,5
srib,SRIBBITS,sRIBBITS,0x399e279c814a3100065fceab8cba1ab114805344,18,5
xac,XAC,AstralCredits,0x61b64c643fccd6ff34fc58c8ddff4579a89e2723,18,5
